stem,run_id,coating_gap,position,frame_number,split
image_595,R1,1100,top-to-bottom-center-1,220,train
image_596,R1,1000,top-to-bottom-center,156,train
image_597,R1,900,top-to-bottom-center,332,train
image_598,R1,900,top-to-bottom-center,486,val
image_599,R1,700,top-to-bottom-center,347,val
image_600,R1,800,top-to-bottom-center,627,val
image_601,R1,1100,top-to-bottom-center-1,397,train
image_602,R1,1000,top-to-bottom-center,487,train
image_603,R1,800,top-to-bottom-center,513,test_in
image_604,R1,900,top-to-bottom-center,486,val
image_605,R1,1100,top-to-bottom-center-1,250,train
image_606,R1,900,top-to-bottom-center,611,train
image_607,R1,600,top-to-bottom-center,143,train
image_608,R1,900,top-to-bottom-center,418,train
image_609,R7,700,middle,500,test_out
image_610,R1,900,top-to-bottom-center,290,val
image_611,R1,1000,top-to-bottom-center,550,train
image_612,R1,600,top-to-bottom-center,203,train
image_613,R1,900,top-to-bottom-center,418,train
image_614,R1,700,top-to-bottom-center,329,train
image_615,R1,1100,top-to-bottom-center-1,174,train
image_616,R7,700,middle,120,test_out
image_617,R1,600,top-to-bottom-center,376,train
image_618,R1,1000,top-to-bottom-center,595,test_in
image_619,R1,1100,top-to-bottom-center-1,493,train
image_620,R1,1100,top-to-bottom-center-1,45,val
image_621,R1,1100,top-to-bottom-center-1,241,train
image_622,R1,900,top-to-bottom-center,434,train
image_623,R1,1100,top-to-bottom-center,183,val
image_624,R1,900,top-to-bottom-center,418,train
image_625,R1,600,top-to-bottom-center,152,val
image_626,R1,1100,top-to-bottom-center,330,train
image_627,R1,800,top-to-bottom-center,631,train
image_628,R1,700,top-to-bottom-center,77,train
image_629,R1,800,top-to-bottom-center,316,train
image_630,R1,1100,top-to-bottom-center-1,447,train
image_631,R1,1000,top-to-bottom-center,225,train
image_632,R1,700,top-to-bottom-center,572,val
image_633,R1,900,top-to-bottom-center,565,train
image_634,R1,900,top-to-bottom-center,275,train
image_635,R1,900,top-to-bottom-center,210,train
image_636,R1,1100,top-to-bottom-center-1,190,val
image_637,R1,800,top-to-bottom-center,408,train
image_638,R1,600,top-to-bottom-center,271,val
image_639,R1,1000,top-to-bottom-center,551,val
image_640,R1,1000,top-to-bottom-center,180,train
image_641,R1,900,top-to-bottom-center,593,train
image_642,R1,1000,top-to-bottom-center,487,train
image_643,R1,1100,top-to-bottom-center,356,train
image_644,R1,1100,top-to-bottom-center,287,train
image_645,R1,900,top-to-bottom-center,192,train
image_646,R1,1000,top-to-bottom-center,256,train
image_647,R1,1100,top-to-bottom-center,144,test_in
image_648,R1,600,top-to-bottom-center,356,train
image_649,R1,700,top-to-bottom-center,306,train
image_650,R1,1100,top-to-bottom-center-1,488,train
image_651,R1,600,top-to-bottom-center,631,train
image_652,R1,600,top-to-bottom-center,622,train
image_653,R1,800,top-to-bottom-center,554,val
image_654,R1,600,top-to-bottom-center,174,train
image_655,R1,600,top-to-bottom-center,127,train
image_656,R1,800,top-to-bottom-center,201,train
image_657,R1,1100,top-to-bottom-center,345,train
image_658,R1,800,top-to-bottom-center,573,test_in
image_659,R1,1100,top-to-bottom-center,245,train
image_660,R1,1100,top-to-bottom-center,264,train
image_661,R1,700,top-to-bottom-center,505,train
image_662,R1,600,top-to-bottom-center,659,train
image_663,R1,1100,top-to-bottom-center-1,372,train
image_664,R1,1000,top-to-bottom-center,134,train
image_665,R1,600,top-to-bottom-center,279,train
image_666,R1,1100,top-to-bottom-center,281,train
image_667,R1,700,top-to-bottom-center,572,val
image_668,R1,800,top-to-bottom-center,540,train
image_669,R1,800,top-to-bottom-center,501,train
image_670,R1,600,top-to-bottom-center,165,train
image_671,R7,700,middle,503,test_out
image_672,R1,1100,top-to-bottom-center,372,train
image_673,R1,800,top-to-bottom-center,623,train
image_674,R1,1100,top-to-bottom-center,86,val
image_675,R1,1000,top-to-bottom-center,384,train
image_676,R1,900,top-to-bottom-center,33,test_in
image_677,R1,1100,top-to-bottom-center,220,train
image_678,R1,1000,top-to-bottom-center,222,val
image_679,R7,700,middle,512,test_out
image_680,R1,1000,top-to-bottom-center,156,train
image_681,R7,700,middle,520,test_out
image_682,R1,1100,top-to-bottom-center,287,train
image_683,R1,1100,top-to-bottom-center,43,train
image_684,R1,700,top-to-bottom-center,364,val
image_685,R1,900,top-to-bottom-center,565,train
image_686,R1,1100,top-to-bottom-center,98,train
image_687,R1,1100,top-to-bottom-center-1,521,train
image_688,R1,900,top-to-bottom-center,275,train
image_689,R1,800,top-to-bottom-center,473,val
image_690,R1,1100,top-to-bottom-center,109,val
image_691,R1,800,top-to-bottom-center,573,test_in
image_692,R1,1100,top-to-bottom-center,286,train
image_693,R7,700,middle,503,test_out
image_694,R1,1100,top-to-bottom-center,144,test_in
image_695,R1,800,top-to-bottom-center,358,train
image_696,R1,1100,top-to-bottom-center,52,train
image_697,R1,900,top-to-bottom-center,275,train
image_698,R1,700,top-to-bottom-center,329,train
image_699,R1,700,top-to-bottom-center,556,train
image_700,R1,1100,top-to-bottom-center,179,train
image_701,R1,1100,top-to-bottom-center,297,val
image_702,R1,600,top-to-bottom-center,511,train
image_703,R1,600,top-to-bottom-center,525,train
image_704,R1,800,top-to-bottom-center,513,test_in
image_705,R1,1100,top-to-bottom-center-1,470,train
image_706,R1,1100,top-to-bottom-center,193,train
image_707,R1,1000,top-to-bottom-center,570,train
image_708,R1,1100,top-to-bottom-center-1,267,train
image_709,R1,600,top-to-bottom-center,58,val
image_710,R1,1100,top-to-bottom-center,232,test_in
image_711,R1,900,top-to-bottom-center,376,val
image_712,R1,800,top-to-bottom-center,513,test_in
image_713,R1,700,top-to-bottom-center,217,train
image_714,R1,1100,top-to-bottom-center,384,val
image_715,R1,800,top-to-bottom-center,479,train
image_716,R1,600,top-to-bottom-center,41,train
image_717,R1,900,top-to-bottom-center,234,train
image_718,R1,1000,top-to-bottom-center,173,train
image_719,R1,800,top-to-bottom-center,318,train
image_720,R1,600,top-to-bottom-center,611,val
image_721,R1,1100,top-to-bottom-center-1,425,train
image_722,R1,600,top-to-bottom-center,376,train
image_723,R1,900,top-to-bottom-center,486,val
image_724,R1,700,top-to-bottom-center,334,train
image_725,R1,900,top-to-bottom-center,332,train
image_726,R7,700,middle,512,test_out
image_727,R1,1100,top-to-bottom-center,218,train
image_728,R1,600,top-to-bottom-center,51,train
image_729,R1,1000,top-to-bottom-center,434,val
image_730,R1,1100,top-to-bottom-center,277,train
image_731,R1,1100,top-to-bottom-center-1,481,train
image_732,R1,800,top-to-bottom-center,367,train
image_733,R1,1100,top-to-bottom-center-1,493,train
image_734,R1,1000,top-to-bottom-center,550,train
image_735,R1,1000,top-to-bottom-center,209,train
image_736,R1,1100,top-to-bottom-center-1,329,train
image_737,R1,1100,top-to-bottom-center,86,val
image_738,R1,800,top-to-bottom-center,631,train
image_739,R1,600,top-to-bottom-center,356,train
image_740,R1,800,top-to-bottom-center,72,train
image_741,R1,900,top-to-bottom-center,179,val
image_742,R1,1100,top-to-bottom-center-1,174,train
image_743,R7,700,middle,1,test_out
image_744,R1,1000,top-to-bottom-center,570,train
image_745,R1,600,top-to-bottom-center,114,val
image_746,R1,1100,top-to-bottom-center-1,284,test_in
image_747,R1,600,top-to-bottom-center,222,test_in
image_748,R1,1100,top-to-bottom-center-1,169,train
image_749,R1,1100,top-to-bottom-center,191,val
image_750,R1,700,top-to-bottom-center,127,train
image_751,R1,800,top-to-bottom-center,269,train
image_752,R1,900,top-to-bottom-center,444,train
image_753,R1,1100,top-to-bottom-center-1,502,train
image_754,R1,900,top-to-bottom-center,126,train
image_755,R1,600,top-to-bottom-center,143,train
image_756,R1,700,top-to-bottom-center,225,test_in
image_757,R1,700,top-to-bottom-center,452,train
image_758,R1,600,top-to-bottom-center,611,val
image_759,R1,600,top-to-bottom-center,114,val
image_760,R1,1100,top-to-bottom-center,193,train
image_761,R1,900,top-to-bottom-center,564,train
image_762,R1,600,top-to-bottom-center,199,train
image_763,R1,900,top-to-bottom-center,192,train
image_764,R1,600,top-to-bottom-center,459,train
image_765,R1,800,top-to-bottom-center,318,train
image_766,R7,700,middle,489,test_out
image_767,R1,900,top-to-bottom-center,347,train
image_768,R1,700,top-to-bottom-center,77,train
image_769,R1,1100,top-to-bottom-center,330,train
image_770,R1,900,top-to-bottom-center,179,val
image_771,R1,700,top-to-bottom-center,618,train
image_772,R1,900,top-to-bottom-center,290,val
image_773,R1,1100,top-to-bottom-center-1,220,train
image_774,R1,600,top-to-bottom-center,79,train
image_775,R7,700,middle,100,test_out
image_776,R1,1000,top-to-bottom-center,122,train
image_777,R1,800,top-to-bottom-center,627,val
image_778,R1,1100,top-to-bottom-center-1,481,train
image_779,R1,1000,top-to-bottom-center,222,val
image_780,R1,900,top-to-bottom-center,303,test_in
image_781,R1,1100,top-to-bottom-center,342,train
image_782,R1,700,top-to-bottom-center,73,val
image_783,R1,600,top-to-bottom-center,53,train
image_784,R1,1100,top-to-bottom-center,327,train
image_785,R1,600,top-to-bottom-center,459,train
image_786,R1,1100,top-to-bottom-center,327,train
image_787,R7,700,middle,241,test_out
image_788,R1,600,top-to-bottom-center,526,train
image_789,R1,700,top-to-bottom-center,570,train
image_790,R1,800,top-to-bottom-center,561,train
image_791,R1,1100,top-to-bottom-center-1,372,train
image_792,R1,700,top-to-bottom-center,570,train
image_793,R1,1100,top-to-bottom-center-1,262,train
image_794,R1,800,top-to-bottom-center,479,train
image_795,R1,900,top-to-bottom-center,565,train
image_796,R1,700,top-to-bottom-center,621,train
image_797,R1,1000,top-to-bottom-center,570,train
image_798,R1,900,top-to-bottom-center,604,train
image_799,R1,800,top-to-bottom-center,172,val
image_800,R1,1100,top-to-bottom-center-1,521,train
image_801,R1,1100,top-to-bottom-center,262,train
image_802,R1,1000,top-to-bottom-center,173,train
image_803,R1,1100,top-to-bottom-center,145,train
image_804,R1,1000,top-to-bottom-center,260,train
image_805,R7,700,middle,566,test_out
image_806,R7,700,middle,574,test_out
image_807,R1,1100,top-to-bottom-center-1,493,train
image_808,R1,1100,top-to-bottom-center-1,470,train
image_809,R1,800,top-to-bottom-center,638,val
image_810,R1,1100,top-to-bottom-center,239,train
image_811,R1,800,top-to-bottom-center,181,train
image_812,R1,1100,top-to-bottom-center-1,338,train
image_813,R1,1100,top-to-bottom-center,370,train
image_814,R1,1000,top-to-bottom-center,458,train
image_815,R1,900,top-to-bottom-center,564,train
image_816,R1,800,top-to-bottom-center,367,train
image_817,R7,700,middle,212,test_out
image_818,R1,900,top-to-bottom-center,207,val
image_819,R1,600,top-to-bottom-center,274,val
image_820,R1,1000,top-to-bottom-center,551,val
image_821,R1,1100,top-to-bottom-center-1,169,train
image_822,R1,1000,top-to-bottom-center,549,val
image_823,R1,1100,top-to-bottom-center-1,329,train
image_824,R1,1100,top-to-bottom-center,98,train
image_825,R1,1000,top-to-bottom-center,461,train
image_826,R1,1100,top-to-bottom-center,245,train
image_827,R1,600,top-to-bottom-center,464,val
image_828,R1,1000,top-to-bottom-center,222,val
image_829,R1,1100,top-to-bottom-center-1,241,train
image_830,R1,900,top-to-bottom-center,362,train
image_831,R1,1000,top-to-bottom-center,170,train
image_832,R1,700,top-to-bottom-center,452,train
image_833,R1,600,top-to-bottom-center,222,test_in
image_834,R1,800,top-to-bottom-center,367,train
image_835,R1,1100,top-to-bottom-center,177,train
image_836,R1,600,top-to-bottom-center,0,train
image_837,R1,1000,top-to-bottom-center,570,train
image_838,R1,700,top-to-bottom-center,347,val
image_839,R1,800,top-to-bottom-center,6,train
image_840,R1,1100,top-to-bottom-center-1,149,train
image_841,R1,900,top-to-bottom-center,392,train
image_842,R1,900,top-to-bottom-center,263,train
image_843,R1,600,top-to-bottom-center,52,train
image_844,R1,1100,top-to-bottom-center,370,train
image_845,R1,600,top-to-bottom-center,511,train
image_846,R1,900,top-to-bottom-center,179,val
image_847,R1,1100,top-to-bottom-center,386,train
image_848,R1,800,top-to-bottom-center,651,train
image_849,R1,1100,top-to-bottom-center,144,test_in
image_850,R1,700,top-to-bottom-center,505,train
image_851,R1,900,top-to-bottom-center,166,train
image_852,R1,900,top-to-bottom-center,192,train
image_853,R1,1100,top-to-bottom-center-1,56,train
image_854,R1,700,top-to-bottom-center,544,train
image_855,R1,1100,top-to-bottom-center-1,169,train
image_856,R1,1000,top-to-bottom-center,209,train
image_857,R1,1100,top-to-bottom-center,147,train
image_858,R1,1100,top-to-bottom-center-1,267,train
image_859,R1,800,top-to-bottom-center,473,val
image_860,R1,900,top-to-bottom-center,234,train
image_861,R1,600,top-to-bottom-center,87,train
image_862,R1,1100,top-to-bottom-center-1,235,test_in
image_863,R1,1000,top-to-bottom-center,225,train
image_864,R1,1100,top-to-bottom-center,277,train
image_865,R1,800,top-to-bottom-center,358,train
image_866,R1,1100,top-to-bottom-center-1,372,train
image_867,R1,1100,top-to-bottom-center,342,train
image_868,R1,1100,top-to-bottom-center,302,val
image_869,R1,1000,top-to-bottom-center,180,train
image_870,R1,700,top-to-bottom-center,580,train
image_871,R1,800,top-to-bottom-center,454,train
image_872,R1,900,top-to-bottom-center,332,train
image_873,R7,700,middle,566,test_out
image_874,R1,600,top-to-bottom-center,41,train
image_875,R1,800,top-to-bottom-center,70,train
image_876,R1,1100,top-to-bottom-center-1,470,train
image_877,R1,700,top-to-bottom-center,590,train
image_878,R1,800,top-to-bottom-center,573,test_in
image_879,R1,1100,top-to-bottom-center-1,289,train
image_880,R1,1000,top-to-bottom-center,260,train
image_881,R1,600,top-to-bottom-center,631,train
image_882,R7,700,middle,122,test_out
image_883,R1,800,top-to-bottom-center,554,val
image_884,R1,600,top-to-bottom-center,201,val
image_885,R1,1100,top-to-bottom-center,302,val
image_886,R1,800,top-to-bottom-center,412,train
image_887,R7,700,middle,489,test_out
image_888,R1,800,top-to-bottom-center,540,train
image_889,R1,1100,top-to-bottom-center,43,train
image_890,R7,700,middle,503,test_out
image_891,R1,900,top-to-bottom-center,486,val
image_892,R1,700,top-to-bottom-center,621,train
image_893,R1,900,top-to-bottom-center,290,val
image_894,R1,600,top-to-bottom-center,75,train
image_895,R1,1100,top-to-bottom-center,132,train
image_896,R1,800,top-to-bottom-center,70,train
image_897,R1,700,top-to-bottom-center,570,train
image_898,R1,600,top-to-bottom-center,603,train
image_899,R1,900,top-to-bottom-center,593,train
image_900,R1,1100,top-to-bottom-center,145,train
image_901,R1,600,top-to-bottom-center,596,train
image_902,R1,600,top-to-bottom-center,659,train
image_903,R1,1100,top-to-bottom-center,167,val
image_904,R1,700,top-to-bottom-center,556,train
image_905,R1,1100,top-to-bottom-center-1,284,test_in
image_906,R1,700,top-to-bottom-center,334,train
image_907,R1,700,top-to-bottom-center,580,train
image_908,R1,1100,top-to-bottom-center,345,train
image_909,R1,1100,top-to-bottom-center,287,train
image_910,R1,700,top-to-bottom-center,618,train
image_911,R1,600,top-to-bottom-center,199,train
image_912,R1,600,top-to-bottom-center,394,train
image_913,R1,900,top-to-bottom-center,221,train
image_914,R1,700,top-to-bottom-center,334,train
image_915,R1,800,top-to-bottom-center,339,train
image_916,R1,800,top-to-bottom-center,408,train
image_917,R1,900,top-to-bottom-center,444,train
image_918,R1,1000,top-to-bottom-center,256,train
image_919,R1,700,top-to-bottom-center,263,val
image_920,R1,800,top-to-bottom-center,454,train
image_921,R1,1100,top-to-bottom-center,372,train
image_922,R1,600,top-to-bottom-center,372,train
image_923,R1,1100,top-to-bottom-center-1,262,train
image_924,R1,600,top-to-bottom-center,143,train
image_925,R1,800,top-to-bottom-center,631,train
image_926,R1,1100,top-to-bottom-center,342,train
image_927,R1,900,top-to-bottom-center,557,val
image_928,R1,600,top-to-bottom-center,432,train
image_929,R1,1100,top-to-bottom-center-1,225,val
image_930,R1,800,top-to-bottom-center,89,train
image_931,R1,700,top-to-bottom-center,580,train
image_932,R1,1100,top-to-bottom-center-1,225,val
image_933,R1,700,top-to-bottom-center,289,train
image_934,R1,1100,top-to-bottom-center-1,372,train
image_935,R1,1000,top-to-bottom-center,156,train
image_936,R1,900,top-to-bottom-center,33,test_in
image_937,R1,600,top-to-bottom-center,41,train
image_938,R1,800,top-to-bottom-center,623,train
image_939,R1,900,top-to-bottom-center,316,val
image_940,R1,600,top-to-bottom-center,152,val
image_941,R1,600,top-to-bottom-center,182,train
image_942,R1,1000,top-to-bottom-center,134,train
image_943,R1,900,top-to-bottom-center,192,train
image_944,R1,900,top-to-bottom-center,512,train
image_945,R1,600,top-to-bottom-center,36,train
image_946,R1,800,top-to-bottom-center,201,train
image_947,R1,1100,top-to-bottom-center,223,train
image_948,R1,800,top-to-bottom-center,623,train
image_949,R1,1100,top-to-bottom-center,97,train
image_950,R1,1100,top-to-bottom-center-1,425,train
image_951,R1,1100,top-to-bottom-center-1,96,train
image_952,R1,600,top-to-bottom-center,567,train
image_953,R1,1100,top-to-bottom-center,330,train
image_954,R1,800,top-to-bottom-center,540,train
image_955,R7,700,middle,100,test_out
image_956,R1,700,top-to-bottom-center,505,train
image_957,R1,1100,top-to-bottom-center-1,402,train
image_958,R1,900,top-to-bottom-center,434,train
image_959,R1,1000,top-to-bottom-center,156,train
image_960,R1,1100,top-to-bottom-center-1,397,train
image_961,R1,600,top-to-bottom-center,526,train
image_962,R1,1100,top-to-bottom-center,86,val
image_963,R1,1100,top-to-bottom-center,220,train
image_964,R1,1100,top-to-bottom-center,327,train
image_965,R1,700,top-to-bottom-center,306,train
image_966,R1,1100,top-to-bottom-center-1,56,train
image_967,R1,1100,top-to-bottom-center,262,train
image_968,R1,1000,top-to-bottom-center,434,val
image_969,R1,900,top-to-bottom-center,347,train
image_970,R1,700,top-to-bottom-center,317,train
image_971,R1,600,top-to-bottom-center,70,train
image_972,R1,600,top-to-bottom-center,104,train
image_973,R1,900,top-to-bottom-center,234,train
image_974,R1,1100,top-to-bottom-center,356,train
image_975,R1,1000,top-to-bottom-center,551,val
image_976,R1,800,top-to-bottom-center,454,train
image_977,R1,1100,top-to-bottom-center-1,225,val
image_978,R1,900,top-to-bottom-center,362,train
image_979,R1,700,top-to-bottom-center,44,train
image_980,R7,700,middle,566,test_out
image_981,R1,900,top-to-bottom-center,207,val
image_982,R7,700,middle,503,test_out
image_983,R1,1100,top-to-bottom-center,264,train
image_984,R1,1100,top-to-bottom-center,308,test_in
image_985,R1,1100,top-to-bottom-center,281,train
image_986,R1,900,top-to-bottom-center,33,test_in
image_987,R1,1100,top-to-bottom-center-1,481,train
image_988,R1,800,top-to-bottom-center,492,train
image_989,R1,700,top-to-bottom-center,77,train
image_990,R1,600,top-to-bottom-center,274,val
image_991,R1,700,top-to-bottom-center,505,train
image_992,R1,900,top-to-bottom-center,332,train
image_993,R1,900,top-to-bottom-center,316,val
image_994,R1,800,top-to-bottom-center,623,train
image_995,R1,900,top-to-bottom-center,288,train
image_996,R1,1100,top-to-bottom-center,193,train
image_997,R1,1100,top-to-bottom-center-1,493,train
image_998,R1,1000,top-to-bottom-center,434,val
image_999,R1,1000,top-to-bottom-center,287,train
image_1000,R7,700,middle,574,test_out
image_1001,R1,1100,top-to-bottom-center-1,521,train
image_1002,R1,1000,top-to-bottom-center,173,train
image_1003,R7,700,middle,512,test_out
image_1004,R1,800,top-to-bottom-center,408,train
image_1005,R1,800,top-to-bottom-center,492,train
image_1006,R1,600,top-to-bottom-center,0,train
image_1007,R1,600,top-to-bottom-center,408,train
image_1008,R1,1100,top-to-bottom-center-1,342,train
image_1009,R1,800,top-to-bottom-center,608,train
image_1010,R1,1100,top-to-bottom-center,239,train
image_1011,R1,1100,top-to-bottom-center,124,train
image_1012,R7,700,middle,221,test_out
image_1013,R1,600,top-to-bottom-center,58,val
image_1014,R1,1100,top-to-bottom-center,205,val
image_1015,R1,800,top-to-bottom-center,80,train
image_1016,R1,900,top-to-bottom-center,210,train
image_1017,R1,1100,top-to-bottom-center-1,289,train
image_1018,R1,1100,top-to-bottom-center-1,225,val
image_1019,R1,600,top-to-bottom-center,372,train
image_1020,R1,1000,top-to-bottom-center,287,train
image_1021,R1,1100,top-to-bottom-center,191,val
image_1022,R1,900,top-to-bottom-center,362,train
image_1023,R1,1100,top-to-bottom-center-1,488,train
image_1024,R1,800,top-to-bottom-center,316,train
image_1025,R1,1000,top-to-bottom-center,458,train
image_1026,R1,700,top-to-bottom-center,270,train
image_1027,R7,700,middle,566,test_out
image_1028,R1,1100,top-to-bottom-center,109,val
image_1029,R1,800,top-to-bottom-center,499,train
image_1030,R1,1000,top-to-bottom-center,594,train
image_1031,R1,900,top-to-bottom-center,418,train
image_1032,R1,1000,top-to-bottom-center,245,train
image_1033,R1,1100,top-to-bottom-center-1,205,val
image_1034,R1,1100,top-to-bottom-center,253,train
image_1035,R1,700,top-to-bottom-center,426,train
image_1036,R1,900,top-to-bottom-center,275,train
image_1037,R1,600,top-to-bottom-center,408,train
image_1038,R1,1100,top-to-bottom-center-1,372,train
image_1039,R1,1100,top-to-bottom-center-1,280,val
image_1040,R1,1100,top-to-bottom-center,179,train
image_1041,R1,1100,top-to-bottom-center,97,train
image_1042,R1,1100,top-to-bottom-center,175,val
image_1043,R1,800,top-to-bottom-center,641,train
image_1044,R1,1100,top-to-bottom-center,232,test_in
image_1045,R1,1000,top-to-bottom-center,338,train
image_1046,R1,800,top-to-bottom-center,413,train
image_1047,R1,900,top-to-bottom-center,444,train
image_1048,R1,800,top-to-bottom-center,492,train
image_1049,R1,1100,top-to-bottom-center-1,174,train
image_1050,R1,600,top-to-bottom-center,586,train
image_1051,R1,1000,top-to-bottom-center,585,train
image_1052,R1,700,top-to-bottom-center,184,train
image_1053,R1,700,top-to-bottom-center,321,train
image_1054,R1,600,top-to-bottom-center,622,train
image_1055,R1,600,top-to-bottom-center,143,train
image_1056,R1,600,top-to-bottom-center,486,test_in
image_1057,R1,700,top-to-bottom-center,6,val
image_1058,R1,1000,top-to-bottom-center,384,train
image_1059,R1,700,top-to-bottom-center,347,val
image_1060,R1,1100,top-to-bottom-center,145,train
image_1061,R1,600,top-to-bottom-center,596,train
image_1062,R1,1000,top-to-bottom-center,173,train
image_1063,R1,1100,top-to-bottom-center-1,468,val
image_1064,R1,1100,top-to-bottom-center,330,train
image_1065,R1,800,top-to-bottom-center,651,train
image_1066,R1,600,top-to-bottom-center,594,train
image_1067,R1,600,top-to-bottom-center,53,train
image_1068,R1,800,top-to-bottom-center,526,val
image_1069,R1,700,top-to-bottom-center,597,train
image_1070,R1,700,top-to-bottom-center,570,train
image_1071,R1,1100,top-to-bottom-center,262,train
image_1072,R1,800,top-to-bottom-center,412,train
image_1073,R1,1100,top-to-bottom-center,277,train
image_1074,R1,1000,top-to-bottom-center,287,train
image_1075,R1,800,top-to-bottom-center,392,test_in
image_1076,R1,1100,top-to-bottom-center-1,447,train
image_1077,R1,800,top-to-bottom-center,413,train
image_1078,R1,1000,top-to-bottom-center,338,train
image_1079,R1,1000,top-to-bottom-center,222,val
image_1080,R1,600,top-to-bottom-center,596,train
image_1081,R1,600,top-to-bottom-center,659,train
image_1082,R1,1100,top-to-bottom-center,175,val
image_1083,R1,800,top-to-bottom-center,304,test_in
image_1084,R1,600,top-to-bottom-center,372,train
image_1085,R1,700,top-to-bottom-center,661,train
image_1086,R7,700,middle,520,test_out
image_1087,R1,600,top-to-bottom-center,408,train
image_1088,R1,1000,top-to-bottom-center,225,train
image_1089,R1,900,top-to-bottom-center,290,val
image_1090,R1,800,top-to-bottom-center,6,train
image_1091,R1,1100,top-to-bottom-center,327,train
image_1092,R1,1000,top-to-bottom-center,461,train
image_1093,R1,600,top-to-bottom-center,418,train
image_1094,R1,1000,top-to-bottom-center,461,train
image_1095,R1,700,top-to-bottom-center,143,train
image_1096,R1,900,top-to-bottom-center,362,train
image_1097,R1,800,top-to-bottom-center,316,train
image_1098,R1,600,top-to-bottom-center,75,train
image_1099,R1,900,top-to-bottom-center,512,train
image_1100,R1,1000,top-to-bottom-center,550,train
image_1101,R1,900,top-to-bottom-center,486,val
image_1102,R1,900,top-to-bottom-center,493,train
image_1103,R1,1100,top-to-bottom-center,98,train
image_1104,R1,600,top-to-bottom-center,61,train
image_1105,R1,1100,top-to-bottom-center,239,train
image_1106,R1,1100,top-to-bottom-center,245,train
image_1107,R1,1100,top-to-bottom-center,262,train
image_1108,R1,1100,top-to-bottom-center,220,train
image_1109,R1,700,top-to-bottom-center,572,val
image_1110,R1,600,top-to-bottom-center,36,train
image_1111,R1,600,top-to-bottom-center,376,train
image_1112,R1,1100,top-to-bottom-center,342,train
image_1113,R7,700,middle,100,test_out
image_1114,R1,800,top-to-bottom-center,473,val
image_1115,R1,700,top-to-bottom-center,321,train
image_1116,R1,1100,top-to-bottom-center,356,train
image_1117,R7,700,middle,1,test_out
image_1118,R1,1100,top-to-bottom-center,277,train
image_1119,R1,600,top-to-bottom-center,457,train
image_1120,R1,900,top-to-bottom-center,194,train
image_1121,R1,700,top-to-bottom-center,321,train
image_1122,R1,1100,top-to-bottom-center,370,train
image_1123,R1,600,top-to-bottom-center,594,train
image_1124,R1,1100,top-to-bottom-center,281,train
image_1125,R1,1100,top-to-bottom-center-1,372,train
image_1126,R1,700,top-to-bottom-center,452,train
image_1127,R1,800,top-to-bottom-center,561,train
image_1128,R1,1100,top-to-bottom-center,361,train
image_1129,R7,700,middle,122,test_out
image_1130,R1,700,top-to-bottom-center,556,train
image_1131,R1,1000,top-to-bottom-center,170,train
image_1132,R1,700,top-to-bottom-center,364,val
image_1133,R1,600,top-to-bottom-center,201,val
image_1134,R1,1000,top-to-bottom-center,585,train
image_1135,R1,1000,top-to-bottom-center,570,train
image_1136,R1,1100,top-to-bottom-center,370,train
image_1137,R1,800,top-to-bottom-center,367,train
image_1138,R1,800,top-to-bottom-center,554,val
image_1139,R7,700,middle,512,test_out
image_1140,R1,1100,top-to-bottom-center,281,train
image_1141,R1,1100,top-to-bottom-center,361,train
image_1142,R1,1100,top-to-bottom-center-1,387,train
image_1143,R1,700,top-to-bottom-center,648,train
image_1144,R1,1100,top-to-bottom-center,245,train
image_1145,R1,600,top-to-bottom-center,387,test_in
image_1146,R1,1100,top-to-bottom-center,254,train
image_1147,R1,1100,top-to-bottom-center-1,250,train
image_1148,R1,1100,top-to-bottom-center,297,val
image_1149,R1,1100,top-to-bottom-center-1,338,train
image_1150,R1,1100,top-to-bottom-center-1,502,train
image_1151,R1,900,top-to-bottom-center,207,val
image_1152,R1,700,top-to-bottom-center,279,train
image_1153,R1,1100,top-to-bottom-center,223,train
image_1154,R1,900,top-to-bottom-center,392,train
image_1155,R1,800,top-to-bottom-center,641,train
image_1156,R1,800,top-to-bottom-center,561,train
image_1157,R1,1100,top-to-bottom-center,218,train
image_1158,R1,600,top-to-bottom-center,174,train
image_1159,R1,1100,top-to-bottom-center-1,488,train
image_1160,R1,1100,top-to-bottom-center,77,train
image_1161,R1,1100,top-to-bottom-center-1,468,val
image_1162,R1,600,top-to-bottom-center,165,train
image_1163,R1,1100,top-to-bottom-center-1,493,train
image_1164,R1,800,top-to-bottom-center,339,train
image_1165,R7,700,middle,122,test_out
image_1166,R1,1100,top-to-bottom-center-1,96,train
image_1167,R1,1100,top-to-bottom-center,297,val
image_1168,R1,1100,top-to-bottom-center-1,267,train
image_1169,R1,600,top-to-bottom-center,603,train
image_1170,R1,1100,top-to-bottom-center,302,val
image_1171,R1,1100,top-to-bottom-center,223,train
image_1172,R1,600,top-to-bottom-center,201,val
image_1173,R1,1100,top-to-bottom-center,370,train
image_1174,R1,600,top-to-bottom-center,279,train
image_1175,R1,1100,top-to-bottom-center-1,481,train
image_1176,R1,700,top-to-bottom-center,321,train
image_1177,R1,1100,top-to-bottom-center-1,267,train
image_1178,R1,1000,top-to-bottom-center,434,val
image_1179,R1,1100,top-to-bottom-center,128,train
image_1180,R1,600,top-to-bottom-center,387,test_in
